,product_name,price,product_weight,nutritional_elements
0,Aw's Market Chicken Thigh,$4.50,200 G,{}
1,Aw's Market Chicken Thigh Cube (Boneless),$4.90,200 G,{}
2,"Zac Butchery Chicken Thigh Pack, Cajun-Marinated",$9.95,500 G,{}
3,Aw's Market Kampong Chicken Thigh Boneless Cube,$11.20,200 G,{}
4,"Zac Butchery Chicken Thigh Pack, Original",$9.85,500 G,{}
5,Kee Song Fresh Chicken - Boneless Breast,$5.60,300g,{}
6,Aw's Market Kampong Chicken Breast Fillet Cube,$10.80,300 G,{}
7,S Pure Fresh Boneless Chicken Breast,$8.80,400g,{}
8,Chicken Story Fresh Chicken Boneless Breast,$16.20,1 KG,{}
9,Hego Skinless Boneless Chicken Breast Chilled,$4.55,1 X 240G,{}
10,Seng Choon Eggs - Farm Fresh,$3.65,550g (10 per pack),"{""Attributes"": ""Per Serving"", ""Energy"": ""68kcal"", ""Trans Fat"": ""0g"", ""Protein"": ""6.3g"", ""Total Fat"": ""4.7g"", ""Saturated Fat"": ""1.6g"", ""Cholesterol"": ""159mg"", ""Carbohydrate"": ""0.3g"", ""Vitamin E"": ""1.2mg""}"
11,Chew's Fresh Eggs with Vitamin E,$3.65,600g (10 per pack),"{""Attributes"": ""Per Serving (50g)"", ""Energy"": ""70kcal"", ""Protein"": ""6.6g"", ""Total Fat"": ""4.2g"", ""Saturated Fat"": ""1.3g"", ""Trans Fat"": ""0g"", ""Cholesterol"": ""160mg"", ""Carbohydrate"": ""1.4g"", ""Sugars"": ""0g"", ""Dietary Fibre"": ""0g"", ""Sodium"": ""70mg"", ""Vitamin E"": ""2.1mg""}"
12,Pasar Fresh Eggs,$3.30,550g (10 per pack),{}
